業種名,和文社名,住所,業種,会社コード,公開有無,フリガナ,旧会社名,英文社名,郵便番号,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
他サービス,（株）ムーランサールジャパン,東京都渋谷区神宮前２－１２－２,その他非製造業,360094,未上場,ムーランサールジャパン,,Ｍｏｕｌｉｎｓａｒｔ　Ｊａｐａｎ,150-0001,03-5770-4366,http://www.tintin.co.jp/,,「タンタンとスノーウィ」の日本国内における総代理店,,,,,199903,80,35.6741149,139.7123571
飲食・外食,スターバックス　コーヒー　ジャパン（株）,東京都渋谷区神宮前２－２２－１６,その他非製造業,208938,上場,スターバックスコーヒージャパン,,Ｓｔａｒｂｕｃｋｓ　Ｃｏｆｆｅｅ　Ｊａｐａｎ，Ｌｔｄ．,150-0001,03-5412-7031,http://www.starbucks.co.jp/,［事務所］　５　［店舗］　９５５,ビバレッジ７５％，ペストリー１５％，コーヒー豆４％，コーヒー器具等４％，他２％,,,,三菱東京ＵＦＪ，みずほ，三菱ＵＦＪ信，三井住友，政策,199510,"8,471",35.6750169,139.7102002
食料品卸売,ピュラトスジャパン（株）,東京都渋谷区神宮前２－２－２２,その他非製造業,204421,未上場,ピュラトスジャパン,,Ｐｕｒａｔｏｓ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5410-2322,http://www.puratos.co.jp/,,チョコレート・洋菓子・パンの原材料輸入販売,,,,,198508,40,35.6726191,139.7138456
通信・放送,ＭＴＶ　Ｎｅｔｗｏｒｋｓ　Ｊａｐａｎ合同会社,東京都渋谷区神宮前２－８－２,情報通信･メディア,220520,未上場,エムティーヴィーネットワークスジャパン,ＭＴＶ　Ｎｅｔｗｏｒｋｓ　Ｊａｐａｎ（株）（2009.9）,ＭＴＶ　Ｎｅｔｗｏｒｋｓ　Ｊａｐａｎ　Ｇ．Ｋ．,150-0001,03-6434-3111,http://www.mtvjapan.com/,,ＭＴＶ及びニコロデオン・ブランドのデジタル・コンテンツ配信，他デジタルメディア事業,,,,,200501,‥,35.6734043,139.7122678
通信・放送,ＭＴＶ　Ｎｅｔｗｏｒｋｓ　Ｊａｐａｎ（株）,東京都渋谷区神宮前２－８－２,情報通信･メディア,403341,未上場,エムティーヴィーネットワークスジャパン,エム・ティー・ヴィー・ジャパン（株）（2011.1）,ＭＴＶ　Ｎｅｔｗｏｒｋｓ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0001,03-6434-3148,http://www.mtvjapan.com/,,世界最大級のユース向け音楽＆エンターテインメント・ブランド「ＭＴＶ」の運営ならびに広告販売事業，ニコロデオンのコンテンツを中心としたライセンシング事業,,,,,199204,‥,35.6734043,139.7122678
情報・システム・ソフト,インフラジスティックス・ジャパン（株）,東京都渋谷区神宮前３－２５－１２　パシフィックスクエア原宿３階,情報通信･メディア,410303,未上場,インフラジスティックスジャパン,,Ｉｎｆｒａｇｉｓｔｉｃｓ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0001,03-5474-8034,http://jp.infragistics.com/,,ソフトウェア開発・販売,,,,,200608,100,35.6713425,139.7079074
その他卸売,ボダムジャパン（株）,東京都渋谷区神宮前３－２５－１２　不二ビルディング原宿４階,その他非製造業,209554,未上場,ボダムジャパン,,Ｂｏｄｕｍ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5775-0681,http://www.bodum.com/,［直営店］　１（日本国内）,Ｂｏｄｕｍブランド家庭用品輸入販売,,良品計画，スターバックスコーヒージャパン，他,Ｂｏｄｕｍ,三井住友,199804,80,35.67138,139.7078851
化学卸売,ピエール　ファーブル　デルモ・コスメティック　ジャポン（株）,東京都渋谷区神宮前３－３５－１６,その他非製造業,222188,未上場,ピエールファーブルデルモコスメティックジャポン,,Ｐｉｅｒｒｅ　Ｆａｂｒｅ　Ｄｅｒｍｏ－Ｃｏｓｍｅｔｉｑｕｅ　Ｊａｐｏｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5411-7650,http://www.elancyl.jp/,,化粧品の輸入販売,,,,,200209,10,35.6723518,139.711927
専門店,ローラ　アシュレイ　ジャパン（株）,東京都渋谷区神宮前３－３５－８　ハニービル青山２階,その他非製造業,100099,未上場,ローラアシュレイジャパン,,Ｌａｕｒａ　Ａｓｈｌｅｙ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5474-2641,http://www.laura-ashley.co.jp/,［直営店］　東京，大阪，名古屋等８９店舗，海外１７店舗，計１０６店舗,ローラアシュレイブランドの婦人衣料，フッション雑貨，ホームファニッシングの輸入・小売,ローラアシュレイグループ,,ｌａｕｒａ　ａｓｈｌｅｙ,◎三井住友，みずほコーポ，三菱東京ＵＦＪ,198602,495,35.6718679,139.7123993
繊維・衣服卸売,ベネトンジャパン（株）,東京都渋谷区神宮前４－３－１０,その他非製造業,100881,未上場,ベネトンジャパン,ベネトンスポーツシステムジャパン（株）（1999.7）,Ｂｅｎｅｔｔｏｎ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5474-7011,http://www.benetton.co.jp/,,ブランド「ベネトン」等衣料品雑貨の輸入・卸売・小売,ベンコム　Ｓｒｌ,,ベネトン，０１２，シスレー,三菱東京ＵＦＪ，三井住友,198505,400,35.6665191,139.7103648
広告,（株）サーチアンドサーチ・ファロン,東京都渋谷区神宮前４－９－３,情報通信･メディア,380937,未上場,サーチアンドサーチファロン,（株）ファロン（2009.6）,Ｓａａｔｃｈｉ　＆　Ｓａａｔｃｈｉ　Ｆａｌｌｏｎ　Ｔｏｋｙｏ　Ｋ．Ｋ．,150-0001,03-6438-1255,http://www.ssftokyo.co.jp/,,広告業,,,,,200003,62,35.6676634,139.7111252
生命保険,ソニーライフ・エイゴン生命保険（株）,東京都渋谷区神宮前５－５２－２　青山オーバルビル,金融･保険,420085,未上場,ソニーライフエイゴンセイメイホケン,,ＡＥＧＯＮ　Ｓｏｎｙ　Ｌｉｆｅ　Ｉｎｓｕｒａｎｃｅ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-6823-5555,http://www.aegonsonylife.co.jp/,,生命保険業,,,,,200708,"10,000",35.6626927,139.7089321
その他卸売,イメーション（株）,東京都渋谷区神宮前５－５２－２　青山オーバルビル１１階,その他非製造業,208627,未上場,イメーション,,Ｉｍａｔｉｏｎ　Ｃｏｒｐ．　Ｊａｐａｎ,150-0001,03-5774-3901,http://www.imation.co.jp/,［営業所］　大阪，福岡　［テクニカルセンター］　池尻大橋,磁気記録メディアおよびメディア関連サービスの輸入・販売，技術サービスの提供,ＴＤＫ，米イメーション,ＮＥＣパーソナルプロダクツ，日本ＩＢＭ，富士通，ヤマダ電機，ビックカメラ，ヨドバシカメラ,ＴＤＫ，Ｉｍａｔｉｏｎ，Ｍｅｍｏｒｅｘ,三井住友，三菱東京ＵＦＪ,199605,480,35.6626927,139.7089321
広告,（株）中国電視,東京都渋谷区神宮前６－１８－５　鷹羽ビル２階,情報通信･メディア,204594,未上場,チュウゴクデンシ,,Ｃｈｉｎａ　Ｔｅｌｅｖｉｓｉｏｎ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-5464-1925,http://english.cctv.com/,,テレビ番組の輸出入，テレビ番組の制作，中国関係取材コーディネート等,,,,,198904,20,35.6643768,139.7028096
その他卸売,ＢＲＩＴＡ　Ｊａｐａｎ（株）,東京都渋谷区神宮前６－１９－２０　第１５荒井ビル７階,その他非製造業,403315,未上場,ブリタジャパン,,ＢＲＩＴＡ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0001,03-3406-2601,http://www.brita.net/jp/,,家庭用浄水器の輸入・販売,,,,,200506,100,35.6639547,139.7025345
通信・放送,ＦＯＸインターナショナル・チャンネルズ（株）,東京都渋谷区神宮前６－２５－１４　神宮前メディアスクエア６階,情報通信･メディア,104421,未上場,フォックスインターナショナルチャンネルズ,ニューズ・ブロードキャスティング・ジャパン（株）（2008.10）,ＦＯＸ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｈａｎｎｅｌｓ（Ｊａｐａｎ）,150-0001,03-5469-6500,http://tv.foxjapan.com/,,米国エンターテインメント番組の提供，デジタル衛星放送，ケーブルテレビ局向け番組供給事業,,,ＦＯＸ，ナショナル　ジオグラフィック　チャンネル，ＦＯＸライフ，サスペンスシアターＦＯＸＣＲＩＭＥ,,199802,490,35.6657277,139.7028245
食料品卸売,キリンＭＣダノンウォーターズ（株）,東京都渋谷区神宮前６－２６－１　キリン原宿本社ビル,その他非製造業,220462,未上場,キリンエムシーダノンウォーターズ,,Ｋｉｒｉｎ　ＭＣ　Ｄａｎｏｎｅ　Ｗａｔｅｒｓ　Ｃｏ．，　Ｌｔｄ．,150-0001,03-6734-9368,http://www.kmdw.co.jp/,,ミネラルウォーター「ボルヴィック」の輸入および販売，「アルカリイオン水」の製造および販売,,,,,200211,"1,500",35.6668742,139.7024733
コンサルティング,（株）ベリタスインターナショナル,東京都渋谷区神山町１７－２,法律会計･コンサル,209282,未上場,ベリタスインターナショナル,,Ｖｅｒｉｔａｓ　Ｉｎｔｅｒｎａｔｉｏｎａｌ，　Ｉｎｃ．,150-0047,03-3481-5931,http://www.veritas-executive.com/,,在日外資系企業法人に対する人事管理，採用，支社開設コンサルティング業務及び外国人，留学生への就職，再就職コンサルティング業務,,,,,198802,10,35.6644177,139.6931978
化学卸売,ダイロンジャパン（株）,東京都渋谷区神泉町２０－１５,その他非製造業,202071,未上場,ダイロンジャパン,,Ｄｙｌｏｎ　Ｊａｐａｎ　Ｌｔｄ．,150-0045,03-3476-5641,http://www.dylon.co.jp/,,家庭染料および雑貨の輸入販売,,,,,197103,40,35.65617599999999,139.6919068
精密機器卸売,日本テレガートナー（株）,東京都渋谷区神泉町２１－３　渋谷ＹＴビル０２－５階,その他非製造業,381360,未上場,ニッポンテレガートナー,,Ｊａｐａｎ　Ｔｅｌｅｇａｅｒｔｎｅｒ　Ｌｔｄ．,150-0045,03-5790-7621,http://www.telegaertner.co.jp/,,データ＆ボイス製品および光通信用部品を中心とした製品の輸入・販売およびコンサルティング,,,,,199501,90,35.6555742,139.6918753
コンサルティング,アイ・ジィー・ビィー・ネットワーク（株）,東京都渋谷区西原３－３７－６,法律会計･コンサル,224424,未上場,アイジィービィーネットワーク,,ＩＧＢ　ＮＥＴＷＯＲＫ　Ｃｏ．，　Ｌｔｄ．,151-0066,03-5790-3280,http://www.igbnetwork.com/,,グローバル組織人材開発，ビジネス・モデルやプランへのコンサルティング,,,,,200410,23,35.670814,139.6802203
その他卸売,日本ベルックス（株）,東京都渋谷区千駄ヶ谷１－２３－１４　ベニーリーフビル,その他非製造業,200902,未上場,ニッポンベルックス,,ＶＥＬＵＸ－ＪＡＰＡＮ　ＬＴＤ．,151-0051,0570-00-8141,http://www.velux.co.jp/,［北海道サポートセンター］　札幌ＴＥＬ０５７０－００－８１４５　［営業所］　北日本，中部，西日本,天窓（木製）の輸入販売,,,ＬＩＶＩＮＧ　ＡＴＴＩＣ，ＡＴＴＡＣＫ　ＴＨＥ　ＡＴＴＩＣ，スカイビュー，ルーフウインドウ，カブリオ,みずほ，三菱東京ＵＦＪ，三井住友,198101,100,35.6794861,139.7087562
その他卸売,クレストラ（株）,東京都渋谷区千駄ヶ谷３－５３－３　ＹＦＬ３・４階,その他非製造業,208311,未上場,クレストラ,クレストラ・ハウザーマン（株）（2008.3）,Ｃｌｅｓｔｒａ　Ｋ．Ｋ．,151-0051,03-3423-4681,http://www.clestra.com/,,スチールパーテーション，メタル天井システム，クリーンルームの輸入・販売・施工,,,,,199107,10,35.6741659,139.7057566
電気機器卸売,ソリッド・ステート・ロジック・ジャパン（株）,東京都渋谷区千駄ヶ谷３－５５－１４,その他非製造業,392516,未上場,ソリッドステートロジックジャパン,,Ｓｏｌｉｄ　Ｓｔａｔｅ　Ｌｏｇｉｃ　Ｊａｐａｎ　Ｋ．Ｋ．,151-0051,03-5474-1144,http://www.solid-state-logic.co.jp/,,業務用音響調整卓の輸入販売,,,,,198903,98,35.67526429999999,139.7052779
コンサルティング,ロベンダル・マサイ（株）,東京都渋谷区千駄ヶ谷４－１６－７　北参道ＤＴビル５階,法律会計･コンサル,392791,未上場,ロベンダルマサイ,マサイ・ジャパン（株）（2007.12）,Ｌｏｗｅｎｄａｌ　Ｍａｓａｉ　Ｋ．Ｋ．,151-0051,03-6661-4501,http://www.lowendalmasai.jp/,,経営コンサルティング,,,,,200501,9,35.6799124,139.7069882
医薬品,グラクソ・スミスクライン（株）,東京都渋谷区千駄ヶ谷４－６－１５　ＧＳＫビル,製造業,200440,未上場,グラクソスミスクライン,グラクソ・ウエルカム（株）（2001.1）,ＧｌａｘｏＳｍｉｔｈＫｌｉｎｅ　Ｋ．Ｋ．,151-8566,03-5786-5000,http://www.glaxosmithkline.co.jp/,［リージョナルオフィス］　北海道（札幌），東北（仙台），東京，北関東甲信越（東京），南関東（横浜），中部北陸（名古屋），近畿（大阪），中四国（広島），九州（福岡）　［コンシューマーヘルスケア製品営業所］　５　［工場］　栃木県日光市,中枢神経２２％，呼吸器２２％，ウイルス感染症２０％，消火器／代謝９％，抗アレルギー８％，循環器５％，ワクチン４％，他１０％（２０１０年１２月）,グラクソ・スミスクライン社,メディパルＨＤ，アルフレッサＨＤ、スズケン，他,,◎みずほ，シティ,195308,"2,067",35.6799914,139.7051374
輸送機器,（株）ヴァレオジャパン,東京都渋谷区千駄ヶ谷５－２３－１３　南新宿星野ビル,製造業,210225,未上場,ヴァレオジャパン,（株）ヴァレオサーマルシステムズ（2011.4）,Ｖａｌｅｏ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,151-0051,03-3226-9203,http://www.valeo.co.jp/,［工場］　本店・江南（埼玉県熊谷市千代３９ＴＥＬ０４８－５３６－１１３４），邑楽（群馬県），安中（群馬県），九州（福岡県），中津（大分県）　［営業所］　名古屋，広島,自動車関連システム及び部品（空調システム，コンプレッサ，フロントエンドモジュール，ラジエータ，ワイパー，ランプ，キー＆ロック，センサー，スタータ，オルタネータなど）の製造・販売,,スズキ，トヨタ自動車，日産自動車，富士重工業，本田技研工業，マツダ，三菱自動車工業，他,,,193705,"9,100",35.6842212,139.7037021
その他卸売,アンタリス・ジャパン（株）,東京都渋谷区千駄ヶ谷５－２６－５　代々木シティホームズ３０１,その他非製造業,204060,未上場,アンタリスジャパン,アルジョウィギンス（株）（2009.6）,ＡＮＴＡＬＩＳ　ＪＡＰＡＮ　Ｃｏ．，Ｌｔｄ．,151-0051,03-5360-1501,http://www.antalis-asiapacific.com/,,製図用紙，印刷用各種紙類の輸入販売,,,,,198904,20,35.685176,139.7032234
機械卸売,ライフ・フィットネス・ジャパン（株）,東京都渋谷区千駄ヶ谷５－２７－７　日本ブランズウィックビル８階,その他非製造業,224607,未上場,ライフフィットネスジャパン,,Ｌｉｆｅ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ，　Ｌｔｄ．,151-0051,03-3359-4309,http://www.lifefitness.com/,,健康機器の販売，修理および保守，医療機器の販売,,,,,199906,61,35.6862198,139.7029315
専門店,ギャップジャパン（株）,東京都渋谷区千駄ヶ谷５－３２－１０,その他非製造業,104205,未上場,ギャップジャパン,,Ｇａｐ　Ｊａｐａｎ　Ｋ．Ｋ．,151-0051,03-5369-5300,http://www.gap.co.jp/,,カジュアル衣料，アクセサリー，小物の販売,Ｔｈｅ　Ｇａｐ　Ｉｎｃ．,一般顧客,Ｇａｐ，ＧａｐＫｉｄｓ，ＢａｂｙＧａｐ，バナナ・リパブリック,,199512,806,35.6866889,139.7034461
他サービス,ヨンカーズ　トランスレーション　アンド　エンジニアリング（株）,東京都渋谷区千駄ヶ谷５－８－４　第７瑞穂ビル３階,その他非製造業,403242,未上場,ヨンカーズトランスレーションアンドエンジニアリング,,Ｊｏｎｃｋｅｒｓ　Ｔｒａｎｓｌａｔｉｏｎ　＆　Ｅｎｇｉｎｅｅｒｉｎｇ　Ｋ．Ｋ．,151-0051,03-5363-4751,http://www.jonckers.com/ja/,,ＩＴ業界の大手顧客のソフトウェアと，それに関連するドキュメントの翻訳,,,,,200601,‥,35.6818206,139.705179
スーパー,イータリージャパン（株）,東京都渋谷区代官山町２０－２３,その他非製造業,402899,未上場,イータリージャパン,,Ｅａｔａｌｙ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0034,03-5784-1511,http://www.eataly.co.jp/,,食材専門のマーケット・レストラン経営,,,,,200712,100,35.64830329999999,139.7023857
情報・システム・ソフト,ジャパンシステム（株）,東京都渋谷区代々木１－２２－１　代々木１丁目ビル,情報通信･メディア,208204,上場,ジャパンシステム,,ＪＡＰＡＮ　ＳＹＳＴＥＭＳ　ＣＯ．，ＬＴＤ．,151-8404,03-5309-0300,http://www.japan-systems.co.jp/,［事業センター］　江東　［支店］　東海，関西　［営業所］　北海道，九州,アプリケーションソフト７４％，パッケージソフト１６％，コンピュータ機器他１０％,,,,みずほコーポ，三菱東京ＵＦＪ,196906,"1,302",35.6811115,139.7020271
食料品,ヒーシュタントジャパン（株）,東京都渋谷区代々木１－５８－５　代々木吉野ビル２階,製造業,360062,未上場,ヒーシュタントジャパン,ヒーシュタント日本（株）（2004.4）,ＨＩＥＳＴＡＮＤ　ＪＡＰＡＮ　ＣＯ．，　ＬＴＤ,151-0053,03-5358-6777,http://www.hiestand.co.jp/,,パン・菓子の製造および販売・輸入，喫茶店・レストランの経営,,,,,199704,185,35.6846544,139.70081
輸送用機器卸売,大林自動車工業（株）（東京事務所）,東京都渋谷区代々木１－５８－７－７０４,その他非製造業,222304,未上場,ダイリンジドウシャコウギョウトウキョウジムショ,,Ｄａｅｌｉｍ　Ｍｏｔｏｒ　Ｃｏ．，　Ｌｔｄ．　Ｔｏｋｙｏ,151-0053,03-3374-7625,http://www.dmc.co.kr,,オートバイ，オートバイ用各種部品，自動車部品の生産，輸出入販売,,,,,198003,－,35.6845369,139.7005896
他サービス,コピーライツ　アジア（株）,東京都渋谷区代々木１－６－１２　ＭＦビル３階,その他非製造業,202070,未上場,コピーライツアジア,ケンリックコピーライツ（株）（1999.3）,Ｃｏｐｙｒｉｇｈｔｓ　Ａｓｉａ　Ｌｔｄ．,151-0053,03-3377-8300,http://www.copyrights.co.jp/,,キャラクター著作権販売，キャラクター及びブランド等のライセンシングエージェント,,,,,195605,30,35.681474,139.6983369
食料品卸売,韓国農協インターナショナル（株）,東京都渋谷区代々木２－１０－１２　ＪＡ南新宿ビル８階,その他非製造業,220248,未上場,カンコクノウキョウインターナショナル,,Ｋｏｒｅａ　ＮｏｎｇＨｙｕｐ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｃｏ．，　Ｌｔｄ．,151-0053,03-5351-5631,http://www.koreafood.co.jp/,,韓国の農産物，畜産物，水産物の輸出入・卸売・販売,韓国農協中央会，会員農協,国分，明治屋商事など,,みずほ,199912,88,35.6879842,139.6981657
電気機器卸売,ＥＭＣジャパン（株）,東京都渋谷区代々木２－１－１　新宿マインズタワー,その他非製造業,208007,未上場,イーエムシージャパン,,ＥＭＣ　Ｊａｐａｎ　Ｋ．Ｋ．,151-0053,03-5308-8000,http://japan.emc.com/,,日本におけるＥＭＣ製品，サービスの販売，ならびに保守業務,,,,,199401,310,35.6865412,139.6988507
情報・システム・ソフト,トレンドマイクロ（株）,東京都渋谷区代々木２－１－１　新宿マインズタワー,情報通信･メディア,210326,上場,トレンドマイクロ,,Ｔｒｅｎｄ　Ｍｉｃｒｏ　Ｉｎｃ．,151-0053,03-5334-3600,http://www.trendmicro.co.jp/,［営業所］　大阪ＴＥＬ０６－６３５０－０３３０，名古屋ＴＥＬ０５２－９５５－１２２１，福岡ＴＥＬ０９２－４７１－０５６２,Ｈｏｍｅ３２％，Ｂｕｓｉｎｅｓｓ６８％,,,ウイルスバスター,三井住友，三菱東京ＵＦＪ，みずほコーポ，三菱ＵＦＪ信,198910,"18,386",35.6865412,139.6988507
他サービス,（株）ジャパン・カンター・リサーチ,東京都渋谷区代々木２－１－１　新宿マインズタワー６階／７階,その他非製造業,5120,未上場,ジャパンカンターリサーチ,（株）リサーチ・インターナショナル・ジャパン（2007.4）,Ｊａｐａｎ　Ｋａｎｔａｒ　Ｒｅｓｅａｒｃｈ　Ｉｎｃ．,151-0053,03-6859-4200,http://www.jp.kantargroup.com/,［大阪支社］　５３０－０００３大阪市北区太融寺１－１７梅田アスカビル３階,マーケット・リサーチ業,,,,,198903,100,35.6866193,139.6988754
電気機器卸売,（株）ディ・ディ・エス,東京都渋谷区代々木２－２０－２　美和プラザ新宿５階,その他非製造業,222302,未上場,ディディエス,,ＤＤＳ　Ｉｎｃ．,151-0053,03-3299-7985,http://www.dds-jp.com/,,セキュリティ製品の輸入販売，電子部品・製品の輸出入販売，ソフトウエア開発・製作・販売，コンサルタント業務,,,,,199004,10,35.6864418,139.6971402
通信・放送,ベライゾンジャパン合同会社,東京都渋谷区代々木２－２－１　小田急サザンタワー８階,情報通信･メディア,209160,未上場,ベライゾンジャパン,ベライゾンジャパン（株）（2007.7）,Ｖｅｒｉｚｏｎ　Ｊａｐａｎ　Ｌｔｄ．,151-8583,03-5539-0071,http://www.verizonbusiness.com/jp/,［大阪オフィス］　５５０－０００１大阪市西区土佐堀２－４－９　［名古屋オフィス］　４６０－０００８名古屋市中区栄３－２－３,第一種電気通信事業,,,,,199712,100,35.6864001,139.700471
情報・システム・ソフト,シーメンスインダストリーソフトウェア（株）,東京都渋谷区代々木２－２－１　小田急サザンタワー９階,情報通信･メディア,220100,未上場,シーメンスインダストリーソフトウェア,シーメンス　プロダクトライフサイクルマネジメント　ソフトウェアＪＰ（株）（2011.1）,Ｓｉｅｍｅｎｓ　Ｉｎｄｕｓｔｒｙ　Ｓｏｆｔｗａｒｅ　Ｋ．Ｋ．,151-8583,03-5354-6700,http://www.plm.automation.siemens.com/ja_jp/,［事業所］　厚木，名古屋，広島,統合ＰＬＭソリューション「ＮＸ」「Ｔｅａｍｃｅｎｔｅｒ」「Ｓｏｌｉｄ　Ｅｄｇｅ」等の販売ならびに技術サポート,,,,,200405,"14,519",35.6864001,139.700471
不動産,信義房屋不動産（株）,東京都渋谷区代々木２－７－１　昇立ビル２階,その他非製造業,410350,未上場,シンギフサヤフドウサン,,Ｓｉｎｙｉ　Ｒｅａｌｔｙ　Ｉｎｃ．，　Ｊａｐａｎ,151-0053,03-5388-6899,http://www.sinyi.co.jp/,,不動産の売買・仲介・賃貸借・管理および鑑定，不動産の管理・賃貸借および売買の受託，不動産に関する調査・研究およびコンサルティング業務,,,,,200912,120,35.6872709,139.699679
医薬品,ファイザー（株）,東京都渋谷区代々木３－２２－７　新宿文化クイントビル,製造業,9760,未上場,ファイザー,ファイザー製薬（株）（2003.8）,Ｐｆｉｚｅｒ　Ｊａｐａｎ　Ｉｎｃ．,151-8589,03-5309-7000,http://www.pfizer.co.jp/,［事業所・営業所］　東京，大阪，名古屋，福岡，他計約１００ヵ所　［工場］　愛知県知多郡武豊町,医療用医薬品，動物用医薬品，農薬の製造・販売・輸出入,ファイザー社，他,スズケン，メディセオ・パルタックホールディングス，アルフレッサ，他,ノルバスク，リピトール，キサラタン，ジフルカン，カルデナリン，ジェノトロピン，アロマシン，バイアグラ，デトルシトール，ジェイゾロフト，ガバペン，セレコックス，セララ，チャンピックス，スーテント，他,三井住友，三菱東京ＵＦＪ，他,195308,‥,35.6863313,139.6951259
電気機器卸売,ウエスタンデジタルジャパン（株）,東京都渋谷区代々木３－２５－３　あいおいニッセイ同和損保新宿ビル１３階,その他非製造業,200095,未上場,ウエスタンデジタルジャパン,,Ｗｅｓｔｅｒｎ　Ｄｉｇｉｔａｌ　Ｊａｐａｎ　Ｌｔｄ．,151-0053,03-5308-2081,http://www.westerndigital.com/,,ハードディスクドライブの輸入販売,ウェスタンデジタル社,富士通，ＮＥＣ，ソニー，レノボ，パイオニア，東芝，日立製作所，ＪＶＣ,ＣＡＶＩＡＲ，ＲＡＰＴＯＲ，ＳＣＯＲＰＩＯ，ＭＹ　ＢＯＯＫ，ＭＹ　ＰＡＳＳＰＯＲＴ,三菱東京ＵＦＪ，ＨＳＢＣ,198407,10,35.684709,139.6923357
情報・システム・ソフト,マジックソフトウェア・ジャパン（株）,東京都渋谷区代々木３－２５－３　あいおいニッセイ同和損保新宿ビル１４階,情報通信･メディア,360122,未上場,マジックソフトウェアジャパン,,Ｍａｇｉｃ　Ｓｏｆｔｗａｒｅ　Ｊａｐａｎ，　Ｋ．Ｋ．,151-0053,03-5365-1600,http://www.magicsoftware.co.jp/,［営業所］　札幌，仙台，信越，名古屋，大阪，岡山，広島，福岡,システム及びアプリケーション開発ツール・システムインテグレーションツールの輸入，開発，販売,,,,,199801,100,35.684709,139.6923357
他製造業,マーカーフォルクル　ジャパン（株）,東京都渋谷区代々木３－２８－６　ＣＯＩ西参道ビル,製造業,209254,未上場,マーカーフォルクルジャパン,マーカー　テクニカ　フォルクル　ジャパン（株）（2007.7）,ＭＡＲＫＥＲ　ＶＯＬＫＬ　ＪＡＰＡＮ　ＣＯ．，　ＬＴＤ．,151-0053,03-5302-6711,http://www.marker.co.jp/,,スポーツ用品等の製造並びに輸入卸・販売業,,,,,197605,90,35.6834915,139.6918952
その他卸売,（株）ケイツージャパン,東京都渋谷区代々木３－２８－６　ＣＯＩ西参道ビルＡ棟,その他非製造業,208929,未上場,ケイツージャパン,,Ｋ２　Ｊａｐａｎ　Ｃｏｒｐ．,151-0053,03-3320-7822,http://www.k2japan.com/,,スポーツ用品輸入販売,,,,,197802,20,35.6834915,139.6918952
情報・システム・ソフト,ＣＤＣ　Ｓｏｆｔｗａｒｅ　ジャパン（株）,東京都渋谷区東１－２６－３０　渋谷イーストビル６階,情報通信･メディア,220268,未上場,シーディーシーソフトウエアジャパン,日本ピボタル（株）（2005.2）,ＣＤＣ　Ｓｏｆｔｗａｒｅ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0011,03-3499-2494,http://www.cdcsoftware.co.jp/,,ソフトウエア（ＥＲＰ，ＣＲＭ，ＥＰＭ）・サービスの販売,,,,,200011,10,35.655679,139.7073125
その他卸売,（株）ネリー　ロディ・ジャポン,東京都渋谷区東１－３－１　常盤松ロイヤルハイツ４０７,その他非製造業,203011,未上場,ネリーロディジャポン,（有）ネリーロディ（2008.7）,Ｎｅｌｌｙ　Ｒｏｄｉ　Ｊａｐｏｎ　Ｃｏ．，　Ｌｔｄ．,150-0011,03-5774-9590,http://www.nellyrodi.fr/,,ファッション関係出版物輸入（販売）,,,,,198710,4,35.657614,139.708239
精密機器卸売,日本フィジカルアコースティクス（株）,東京都渋谷区東２－１７－１０　岡本ＬＫビル８階,その他非製造業,200582,未上場,ニッポンフィジカルアコースティクス,,Ｎｉｐｐｏｎ　Ｐｈｙｓｉｃａｌ　Ａｃｏｕｓｔｉｃｓ　Ｌｔｄ．,150-0011,03-3498-3570,http://www.pacjapan.com/,,非破壊検査機器の製造・販売,,,,,198401,16,35.652507,139.7091477
その他卸売,ブリオジャパン（株）,東京都渋谷区東３－１２－１３　ベリータ８階,その他非製造業,222272,未上場,ブリオジャパン,,Ｂｒｉｏ　Ｊａｐａｎ　Ｋ．Ｋ．,150-0011,03-5766-5032,http://www.brio.net/,,木製玩具・知育玩具・パズル・ゲーム・ベビー用玩具・ベビーチェアの輸入販売,,,,,200211,10,35.6501372,139.7103393
